testDate,expression,movement,quality,benchmarkPct,pid
19/12/2023,dynamic,upper body,pull,0.87,1
03/01/2024,isometric,upper body,pull,,1
04/01/2024,isometric,upper body,push,0.664,1
09/01/2024,isometric,agility,acceleration,0.52,1
10/01/2024,dynamic,upper body,pull,0.879,1
19/01/2024,isometric,upper body,push,0.687,1
21/01/2024,isometric,agility,rotate,,1
30/01/2024,dynamic,agility,acceleration,0.4345,1
07/02/2024,isometric,agility,rotate,,1
14/02/2024,isometric,jump,take off,,1
16/02/2024,isometric,upper body,grapple,,1
07/03/2024,isometric,agility,acceleration,0.52,1
15/03/2024,isometric,jump,land,,1
10/04/2024,dynamic,jump,land,0.655,1
16/04/2024,dynamic,agility,acceleration,0.43,1
22/04/2024,isometric,agility,acceleration,0.52,1
24/04/2024,isometric,sprint,max velocity,-0.2,1
25/04/2024,isometric,sprint,max velocity,-0.2,1
04/05/2024,dynamic,jump,pre-load,0.521,1
06/05/2024,isometric,upper body,pull,,1
08/05/2024,dynamic,agility,acceleration,0.43,1
22/05/2024,isometric,sprint,max velocity,0.1995,1
24/05/2024,isometric,jump,take off,,1
03/06/2024,isometric,jump,pre-load,0.49,1
08/06/2024,dynamic,upper body,push,0.43,1
13/06/2024,isometric,sprint,max velocity,0.1995,1
15/06/2024,isometric,jump,pre-load,0.49,1
18/06/2024,dynamic,jump,land,0.723,1
25/06/2024,dynamic,agility,deceleration,0.89,1
07/07/2024,isometric,jump,land,0.1,1
12/07/2024,isometric,agility,rotate,,1
15/07/2024,isometric,sprint,max velocity,0.768,1
17/07/2024,isometric,jump,land,0.3975,1
21/07/2024,isometric,upper body,push,0.922,1
09/08/2024,isometric,jump,land,0.363,1
09/08/2024,dynamic,upper body,pull,0.852,1
15/08/2024,dynamic,sprint,max velocity,0.6795,1
01/10/2024,dynamic,sprint,max velocity,0.67,1
11/10/2024,isometric,agility,rotate,0.6595,1
13/11/2024,dynamic,jump,pre-load,0.57,1
19/11/2024,dynamic,jump,pre-load,0.57,1
09/12/2024,isometric,agility,deceleration,0.8655,1
11/12/2024,isometric,upper body,pull,0.46,1
20/12/2024,isometric,jump,pre-load,0.796,1
21/12/2024,isometric,agility,deceleration,0.9155,1
26/12/2024,dynamic,jump,land,0.728,1
02/01/2025,dynamic,upper body,push,0.498,1
18/01/2025,dynamic,sprint,max velocity,0.667,1
01/02/2025,dynamic,upper body,pull,0.873,1
03/02/2025,dynamic,upper body,pull,0.873,1
05/02/2025,dynamic,upper body,pull,0.87,1
06/02/2025,isometric,agility,deceleration,0.9595,1
07/02/2025,isometric,jump,land,0.39,1
12/02/2025,isometric,upper body,grapple,0.6415,1
26/02/2025,dynamic,upper body,push,0.495,1
08/07/2023,dynamic,agility,acceleration,0.32,1
10/07/2023,dynamic,sprint,max velocity,0.67,1
16/07/2023,isometric,sprint,acceleration,,1
18/07/2023,isometric,upper body,push,,1
24/07/2023,isometric,agility,rotate,,1
25/07/2023,dynamic,jump,take off,0.7365,1
08/08/2023,dynamic,jump,pre-load,0.589,1
10/08/2023,dynamic,jump,pre-load,0.6175,1
10/08/2023,isometric,jump,take off,,1
17/08/2023,isometric,sprint,max velocity,,1
19/08/2023,isometric,upper body,grapple,,1
21/08/2023,dynamic,jump,land,0.69,1
02/09/2023,dynamic,sprint,acceleration,0.3945,1
03/09/2023,dynamic,agility,deceleration,0.877,1
06/09/2023,dynamic,agility,deceleration,0.877,1
08/09/2023,isometric,sprint,max velocity,,1
25/09/2023,dynamic,sprint,max velocity,0.5845,1
26/09/2023,isometric,agility,acceleration,0.52,1
29/09/2023,isometric,jump,take off,,1
05/10/2023,dynamic,jump,take off,0.68,1
21/10/2023,dynamic,agility,deceleration,0.871,1
24/10/2023,dynamic,upper body,push,0.4305,1
08/11/2023,isometric,agility,deceleration,1.038,1
09/11/2023,dynamic,jump,take off,0.6655,1
21/11/2023,isometric,upper body,grapple,,1
23/11/2023,dynamic,jump,land,0.69,1
23/11/2023,isometric,jump,pre-load,0.52,1
23/11/2023,isometric,jump,take off,,1
04/12/2023,isometric,upper body,push,0.67,1
07/12/2023,isometric,agility,acceleration,0.52,1
08/12/2023,dynamic,jump,pre-load,0.4955,1
08/12/2023,isometric,agility,rotate,,1
13/12/2023,isometric,jump,take off,,1
17/12/2023,isometric,upper body,push,0.664,1
29/12/2023,dynamic,jump,pre-load,0.484,1
07/01/2024,dynamic,jump,pre-load,0.504,1
11/01/2024,isometric,sprint,max velocity,,1
12/01/2024,dynamic,agility,acceleration,0.43,1
13/01/2024,dynamic,sprint,acceleration,0.43,1
07/02/2024,dynamic,agility,acceleration,0.4445,1
07/02/2024,isometric,agility,acceleration,0.52,1
07/02/2024,dynamic,agility,deceleration,0.89,1
08/02/2024,isometric,agility,deceleration,1.148,1
09/02/2024,isometric,agility,rotate,,1
17/02/2024,isometric,upper body,push,0.772,1
18/02/2024,isometric,upper body,push,0.772,1
19/02/2024,dynamic,upper body,push,0.4345,1
24/02/2024,dynamic,jump,pre-load,0.479,1
01/03/2024,dynamic,jump,pre-load,0.479,1
05/03/2024,isometric,sprint,acceleration,0.52,1
06/03/2024,isometric,agility,rotate,,1
14/03/2024,isometric,upper body,push,0.704,1
16/03/2024,dynamic,agility,deceleration,0.89,1
26/03/2024,isometric,upper body,push,0.704,1
27/03/2024,dynamic,upper body,push,0.4345,1
31/03/2024,dynamic,jump,take off,0.6525,1
01/04/2024,dynamic,upper body,push,0.44,1
14/04/2024,dynamic,sprint,max velocity,0.628,1
19/04/2024,isometric,agility,rotate,,1
20/04/2024,dynamic,agility,acceleration,0.43,1
25/04/2024,dynamic,upper body,push,0.43,1
25/04/2024,isometric,agility,deceleration,1.1365,1
28/04/2024,dynamic,upper body,pull,0.89,1
03/05/2024,isometric,jump,take off,,1
04/05/2024,isometric,agility,deceleration,1.1365,1
07/05/2024,dynamic,sprint,acceleration,0.43,1
09/05/2024,isometric,upper body,grapple,,1
29/05/2024,dynamic,jump,pre-load,0.4655,1
05/06/2024,dynamic,jump,pre-load,0.4655,1
12/06/2024,dynamic,jump,pre-load,0.4655,1
22/06/2024,dynamic,jump,land,0.723,1
22/06/2024,isometric,agility,rotate,,1
10/07/2024,isometric,agility,deceleration,1.135,1
13/07/2024,isometric,agility,acceleration,0.7165,1
15/07/2024,dynamic,upper body,pull,0.894,1
01/08/2024,isometric,agility,rotate,0.384,1
01/08/2024,dynamic,sprint,acceleration,0.428,1
01/08/2024,isometric,sprint,max velocity,0.756,1
08/08/2024,isometric,agility,rotate,0.384,1
10/08/2024,dynamic,jump,take off,0.723,1
11/08/2024,isometric,agility,acceleration,0.7305,1
12/08/2024,isometric,sprint,acceleration,0.7305,1
17/08/2024,isometric,agility,acceleration,0.7305,1
21/08/2024,isometric,agility,rotate,0.3585,1
24/08/2024,isometric,sprint,acceleration,0.7305,1
26/08/2024,dynamic,jump,take off,0.6915,1
04/09/2024,dynamic,agility,acceleration,0.496,1
06/09/2024,dynamic,upper body,push,0.496,1
11/09/2024,isometric,agility,acceleration,0.7275,1
24/09/2024,dynamic,jump,take off,0.6955,1
27/09/2024,isometric,sprint,max velocity,0.6975,1
29/09/2024,isometric,upper body,push,0.936,1
30/09/2024,dynamic,agility,deceleration,0.896,1
02/10/2024,isometric,jump,land,0.426,1
02/10/2024,dynamic,upper body,push,0.494,1
03/10/2024,dynamic,agility,acceleration,0.494,1
06/10/2024,dynamic,sprint,max velocity,0.6745,1
22/10/2024,dynamic,sprint,max velocity,0.67,1
03/11/2024,dynamic,jump,take off,0.69,1
06/11/2024,isometric,upper body,pull,,1
11/11/2024,isometric,sprint,acceleration,0.7515,1
12/11/2024,isometric,agility,rotate,0.6795,1
16/11/2024,dynamic,jump,pre-load,0.57,1
27/11/2024,dynamic,agility,deceleration,0.88,1
30/11/2024,isometric,jump,land,0.438,1
30/11/2024,dynamic,agility,acceleration,0.498,1
01/12/2024,isometric,sprint,max velocity,0.73,1
08/12/2024,dynamic,sprint,acceleration,0.498,1
09/12/2024,dynamic,upper body,pull,0.876,1
21/12/2024,isometric,sprint,acceleration,0.796,1
23/12/2024,isometric,jump,pre-load,0.796,1
23/12/2024,dynamic,jump,take off,0.69,1
09/01/2025,isometric,upper body,push,0.918,1
11/01/2025,isometric,jump,pre-load,0.79,1
11/01/2025,isometric,sprint,acceleration,0.79,1
24/01/2025,isometric,jump,land,0.4495,1
25/01/2025,dynamic,jump,pre-load,0.53,1
24/02/2025,isometric,sprint,acceleration,0.79,1
28/02/2025,isometric,upper body,grapple,0.6385,1
09/03/2025,isometric,sprint,acceleration,0.787,1
09/07/2023,isometric,jump,take off,,1
18/07/2023,dynamic,jump,pre-load,0.589,1
19/07/2023,dynamic,sprint,max velocity,0.67,1
22/07/2023,isometric,upper body,grapple,,1
02/08/2023,isometric,jump,pre-load,,1
11/08/2023,dynamic,sprint,max velocity,0.67,1
22/08/2023,dynamic,jump,land,0.69,1
03/09/2023,isometric,agility,deceleration,1.0395,1
07/09/2023,dynamic,jump,land,0.69,1
02/10/2023,dynamic,jump,land,0.69,1
02/10/2023,isometric,agility,acceleration,0.52,1
26/10/2023,dynamic,sprint,max velocity,0.6475,1
29/10/2023,isometric,sprint,acceleration,0.52,1
01/11/2023,isometric,upper body,pull,,1
05/11/2023,isometric,upper body,push,0.67,1
07/11/2023,isometric,upper body,grapple,,1
14/11/2023,isometric,upper body,grapple,,1
16/11/2023,dynamic,jump,take off,0.64,1
22/12/2023,isometric,jump,land,,1
28/12/2023,isometric,agility,deceleration,1.112,1
03/01/2024,dynamic,upper body,pull,0.87,1
09/01/2024,isometric,jump,pre-load,0.52,1
09/01/2024,dynamic,sprint,acceleration,0.426,1
09/01/2024,isometric,sprint,max velocity,,1
17/01/2024,dynamic,jump,land,0.69,1
21/01/2024,isometric,agility,deceleration,1.138,1
23/01/2024,dynamic,upper body,push,0.4345,1
25/01/2024,isometric,upper body,pull,,1
12/02/2024,dynamic,jump,land,0.668,1
20/02/2024,isometric,jump,land,,1
21/02/2024,isometric,upper body,push,0.772,1
02/03/2024,dynamic,sprint,max velocity,0.637,1
11/03/2024,isometric,sprint,acceleration,0.52,1
15/03/2024,dynamic,jump,land,0.668,1
16/03/2024,isometric,agility,rotate,,1
19/03/2024,isometric,upper body,push,0.704,1
01/04/2024,dynamic,jump,land,0.6625,1
24/04/2024,isometric,upper body,pull,,1
25/04/2024,isometric,jump,land,,1
03/05/2024,isometric,jump,pre-load,0.52,1
08/05/2024,isometric,upper body,grapple,,1
08/05/2024,isometric,sprint,max velocity,0.1995,1
14/05/2024,dynamic,upper body,push,0.43,1
24/05/2024,isometric,agility,deceleration,1.1365,1
08/06/2024,dynamic,agility,deceleration,0.876,1
16/06/2024,isometric,jump,pre-load,0.49,1
16/06/2024,dynamic,upper body,pull,0.89,1
17/06/2024,isometric,jump,take off,,1
21/06/2024,isometric,jump,take off,,1
23/06/2024,dynamic,upper body,push,0.436,1
01/07/2024,isometric,agility,deceleration,1.135,1
07/07/2024,dynamic,upper body,push,0.43,1
09/07/2024,isometric,sprint,acceleration,0.7165,1
23/07/2024,isometric,upper body,push,0.922,1
27/07/2024,isometric,agility,deceleration,1.0335,1
21/08/2024,dynamic,sprint,acceleration,0.428,1
09/09/2024,isometric,jump,land,0.368,1
16/09/2024,isometric,jump,take off,0.386,1
18/09/2024,isometric,jump,take off,0.3945,1
19/09/2024,isometric,upper body,pull,,1
28/09/2024,dynamic,sprint,max velocity,0.702,1
28/09/2024,isometric,sprint,max velocity,0.6975,1
29/09/2024,dynamic,jump,pre-load,0.57,1
04/10/2024,isometric,jump,land,0.426,1
04/10/2024,isometric,jump,pre-load,0.6925,1
04/10/2024,dynamic,jump,take off,0.6955,1
08/10/2024,dynamic,upper body,pull,0.868,1
11/10/2024,isometric,agility,acceleration,0.6925,1
12/10/2024,isometric,jump,land,0.426,1
13/10/2024,dynamic,upper body,pull,0.868,1
17/10/2024,isometric,upper body,grapple,0.6595,1
28/10/2024,dynamic,agility,acceleration,0.486,1
12/11/2024,dynamic,jump,take off,0.69,1
15/11/2024,isometric,upper body,grapple,0.6795,1
17/11/2024,isometric,sprint,max velocity,0.6325,1
30/11/2024,isometric,agility,acceleration,0.79,1
30/11/2024,isometric,agility,deceleration,0.87,1
09/12/2024,isometric,jump,land,0.42,1
11/12/2024,dynamic,agility,acceleration,0.498,1
14/12/2024,isometric,upper body,pull,0.46,1
16/12/2024,isometric,sprint,acceleration,0.796,1
21/12/2024,isometric,agility,rotate,0.68,1
28/12/2024,isometric,upper body,pull,0.46,1
30/12/2024,isometric,upper body,push,0.876,1
01/01/2025,isometric,agility,deceleration,0.9155,1
06/01/2025,isometric,upper body,push,0.876,1
07/01/2025,dynamic,upper body,pull,0.853,1
13/01/2025,isometric,upper body,push,0.918,1
22/01/2025,dynamic,upper body,push,0.5,1
04/02/2025,isometric,upper body,grapple,0.6445,1
05/02/2025,dynamic,jump,take off,0.68,1
13/02/2025,dynamic,upper body,push,0.495,1
15/02/2025,isometric,upper body,grapple,0.6415,1
23/02/2025,isometric,sprint,max velocity,0.707,1
25/02/2025,isometric,jump,land,0.3955,1
03/03/2025,isometric,agility,acceleration,0.807,1
04/03/2025,isometric,agility,rotate,0.6385,1
11/03/2025,isometric,agility,deceleration,0.96,1
12/03/2025,dynamic,upper body,push,0.49,1
19/07/2023,isometric,agility,acceleration,,1
11/08/2023,dynamic,jump,land,0.69,1
14/08/2023,isometric,jump,take off,,1
17/08/2023,isometric,jump,pre-load,,1
23/08/2023,isometric,jump,land,,1
31/08/2023,isometric,upper body,push,,1
31/08/2023,isometric,agility,deceleration,1.0395,1
10/09/2023,dynamic,jump,take off,0.7085,1
13/09/2023,dynamic,sprint,acceleration,0.388,1
27/09/2023,dynamic,agility,acceleration,0.4305,1
02/10/2023,dynamic,agility,acceleration,0.4305,1
24/10/2023,dynamic,sprint,acceleration,0.4305,1
28/10/2023,isometric,upper body,grapple,,1
31/10/2023,dynamic,sprint,max velocity,0.6475,1
11/11/2023,isometric,upper body,grapple,,1
20/11/2023,dynamic,jump,take off,0.631,1
26/11/2023,isometric,sprint,acceleration,0.52,1
11/12/2023,isometric,jump,pre-load,0.52,1
11/12/2023,dynamic,jump,take off,0.6355,1
13/12/2023,dynamic,agility,deceleration,0.87,1
15/12/2023,isometric,agility,deceleration,1.04,1
23/12/2023,dynamic,sprint,acceleration,0.43,1
25/12/2023,isometric,agility,deceleration,1.112,1
01/01/2024,isometric,upper body,pull,,1
07/01/2024,isometric,jump,take off,,1
08/01/2024,isometric,agility,rotate,,1
10/01/2024,isometric,upper body,pull,,1
12/01/2024,isometric,sprint,acceleration,0.52,1
16/01/2024,isometric,jump,land,,1
18/01/2024,isometric,upper body,grapple,,1
28/01/2024,dynamic,upper body,push,0.4345,1
04/02/2024,isometric,jump,pre-load,0.52,1
19/02/2024,isometric,jump,take off,,1
05/03/2024,dynamic,sprint,acceleration,0.4445,1
08/03/2024,dynamic,jump,land,0.668,1
09/03/2024,dynamic,agility,acceleration,0.4445,1
22/03/2024,isometric,upper body,grapple,,1
02/04/2024,isometric,upper body,push,0.704,1
16/04/2024,isometric,sprint,max velocity,-0.2,1
28/04/2024,isometric,jump,land,,1
10/05/2024,isometric,upper body,pull,,1
16/05/2024,isometric,upper body,push,0.704,1
04/06/2024,isometric,jump,take off,,1
12/06/2024,dynamic,sprint,acceleration,0.43,1
17/06/2024,dynamic,jump,pre-load,0.4655,1
20/06/2024,isometric,jump,land,,1
27/06/2024,isometric,jump,pre-load,0.49,1
30/06/2024,isometric,agility,acceleration,0.49,1
03/07/2024,dynamic,upper body,pull,0.89,1
05/07/2024,isometric,agility,deceleration,1.135,1
08/07/2024,dynamic,jump,land,0.684,1
11/07/2024,isometric,agility,acceleration,0.7165,1
11/07/2024,isometric,agility,deceleration,1.044,1
18/07/2024,isometric,agility,rotate,0.278,1
20/07/2024,isometric,agility,acceleration,0.685,1
06/08/2024,isometric,agility,deceleration,1.032,1
07/08/2024,dynamic,upper body,push,0.428,1
08/08/2024,isometric,jump,take off,0.363,1
10/08/2024,isometric,sprint,max velocity,0.756,1
16/08/2024,isometric,jump,pre-load,0.7305,1
20/08/2024,isometric,upper body,push,0.96,1
21/08/2024,dynamic,jump,take off,0.723,1
23/08/2024,isometric,jump,pre-load,0.7305,1
02/09/2024,dynamic,agility,deceleration,0.9,1
07/09/2024,dynamic,upper body,push,0.496,1
17/09/2024,isometric,sprint,max velocity,0.6975,1
28/09/2024,isometric,upper body,push,0.936,1
07/10/2024,dynamic,jump,take off,0.6955,1
07/10/2024,dynamic,sprint,acceleration,0.494,1
30/10/2024,dynamic,upper body,push,0.486,1
16/11/2024,dynamic,jump,take off,0.69,1
17/11/2024,isometric,agility,acceleration,0.7515,1
27/11/2024,isometric,agility,acceleration,0.79,1
01/12/2024,isometric,agility,deceleration,0.87,1
02/12/2024,isometric,upper body,grapple,0.6805,1
03/12/2024,isometric,agility,deceleration,0.8655,1
03/12/2024,isometric,agility,rotate,0.6805,1
05/12/2024,isometric,agility,rotate,0.6805,1
12/12/2024,isometric,sprint,max velocity,0.685,1
15/12/2024,dynamic,upper body,pull,0.876,1
12/01/2025,isometric,agility,deceleration,0.92,1
13/01/2025,isometric,agility,acceleration,0.79,1
17/01/2025,dynamic,jump,take off,0.67,1
24/01/2025,isometric,upper body,pull,0.46,1
25/01/2025,isometric,agility,rotate,0.6675,1
16/02/2025,dynamic,jump,pre-load,0.5225,1
18/02/2025,isometric,jump,land,0.3955,1
18/02/2025,isometric,agility,rotate,0.6385,1
20/02/2025,isometric,agility,deceleration,0.96,1
03/03/2025,isometric,sprint,max velocity,0.77,1
05/03/2025,dynamic,sprint,acceleration,0.495,1
08/03/2025,dynamic,jump,land,0.735,1
10/03/2025,dynamic,upper body,pull,0.88,1
10/03/2025,isometric,sprint,acceleration,0.787,1
13/07/2023,isometric,jump,land,,1
14/07/2023,dynamic,jump,pre-load,0.662,1
18/07/2023,isometric,agility,acceleration,,1
22/07/2023,dynamic,agility,deceleration,0.8525,1
22/07/2023,isometric,agility,rotate,,1
24/07/2023,dynamic,jump,take off,0.7365,1
02/08/2023,dynamic,upper body,push,0.395,1
07/08/2023,dynamic,jump,pre-load,0.589,1
26/08/2023,dynamic,jump,pre-load,0.58,1
30/08/2023,isometric,agility,acceleration,0.52,1
06/09/2023,dynamic,agility,acceleration,0.3635,1
09/09/2023,dynamic,jump,pre-load,0.51,1
09/09/2023,isometric,sprint,max velocity,,1
10/09/2023,isometric,agility,deceleration,1.0395,1
17/09/2023,dynamic,jump,take off,0.7085,1
24/09/2023,isometric,jump,take off,,1
07/10/2023,isometric,sprint,acceleration,0.52,1
26/10/2023,isometric,jump,land,,1
02/11/2023,dynamic,jump,land,0.69,1
03/11/2023,dynamic,sprint,max velocity,0.6475,1
06/11/2023,dynamic,agility,deceleration,0.871,1
10/11/2023,dynamic,jump,take off,0.651,1
18/11/2023,isometric,agility,deceleration,1.038,1
20/11/2023,dynamic,jump,land,0.69,1
02/12/2023,isometric,jump,land,,1
04/12/2023,dynamic,jump,take off,0.631,1
07/12/2023,isometric,upper body,pull,,1
08/12/2023,isometric,upper body,pull,,1
15/12/2023,isometric,sprint,max velocity,,1
17/12/2023,isometric,agility,deceleration,1.04,1
19/12/2023,isometric,upper body,grapple,,1
28/12/2023,isometric,jump,pre-load,0.52,1
30/12/2023,isometric,upper body,pull,,1
03/01/2024,isometric,jump,take off,,1
17/01/2024,isometric,sprint,acceleration,0.52,1
20/01/2024,dynamic,sprint,max velocity,0.598,1
29/01/2024,isometric,jump,land,,1
16/02/2024,isometric,agility,deceleration,1.148,1
21/02/2024,dynamic,jump,pre-load,0.476,1
24/02/2024,dynamic,sprint,acceleration,0.4445,1
05/03/2024,dynamic,agility,deceleration,0.89,1
06/03/2024,dynamic,jump,take off,0.64,1
07/03/2024,dynamic,jump,land,0.668,1
11/03/2024,isometric,jump,land,,1
19/03/2024,isometric,jump,land,,1
19/03/2024,isometric,agility,deceleration,1.138,1
28/03/2024,dynamic,sprint,max velocity,0.637,1
09/04/2024,dynamic,jump,pre-load,0.521,1
18/04/2024,isometric,sprint,acceleration,0.52,1
19/04/2024,dynamic,sprint,acceleration,0.43,1
20/04/2024,dynamic,jump,pre-load,0.53,1
21/04/2024,dynamic,jump,take off,0.64,1
23/04/2024,isometric,jump,pre-load,0.52,1
07/05/2024,isometric,jump,land,,1
07/05/2024,dynamic,jump,pre-load,0.4785,1
15/05/2024,dynamic,upper body,pull,0.876,1
20/05/2024,isometric,jump,land,,1
01/06/2024,isometric,jump,land,,1
06/06/2024,dynamic,agility,deceleration,0.876,1
11/06/2024,isometric,sprint,max velocity,0.1995,1
26/06/2024,dynamic,jump,take off,0.639,1
27/06/2024,isometric,jump,land,,1
02/07/2024,dynamic,sprint,acceleration,0.43,1
21/07/2024,isometric,sprint,max velocity,0.768,1
27/07/2024,isometric,jump,pre-load,0.685,1
31/07/2024,dynamic,upper body,push,0.428,1
01/08/2024,isometric,jump,take off,0.372,1
01/08/2024,dynamic,upper body,pull,0.852,1
11/08/2024,isometric,upper body,push,0.96,1
01/09/2024,dynamic,jump,land,0.641,1
06/09/2024,isometric,jump,pre-load,0.7275,1
10/09/2024,dynamic,sprint,acceleration,0.4955,1
11/09/2024,isometric,upper body,push,0.936,1
12/09/2024,dynamic,agility,acceleration,0.4955,1
13/09/2024,dynamic,jump,take off,0.7185,1
18/09/2024,dynamic,agility,acceleration,0.494,1
22/09/2024,dynamic,agility,acceleration,0.494,1
22/09/2024,dynamic,sprint,max velocity,0.6765,1
25/09/2024,dynamic,upper body,push,0.494,1
28/09/2024,dynamic,agility,deceleration,0.896,1
30/09/2024,isometric,agility,deceleration,0.86,1
05/10/2024,isometric,sprint,acceleration,0.6925,1
06/10/2024,dynamic,sprint,acceleration,0.494,1
10/10/2024,dynamic,jump,land,0.65,1
11/10/2024,dynamic,jump,take off,0.7165,1
11/10/2024,isometric,upper body,pull,,1
13/10/2024,isometric,sprint,max velocity,0.6975,1
23/10/2024,isometric,upper body,pull,,1
23/10/2024,isometric,upper body,push,0.936,1
23/10/2024,isometric,agility,rotate,0.6695,1
03/11/2024,isometric,agility,rotate,0.6795,1
13/11/2024,isometric,sprint,max velocity,0.6325,1
18/11/2024,isometric,jump,take off,0.39,1
29/11/2024,isometric,upper body,push,0.876,1
30/11/2024,dynamic,upper body,pull,0.856,1
30/11/2024,isometric,agility,rotate,0.6795,1
07/12/2024,dynamic,agility,deceleration,0.876,1
09/12/2024,dynamic,sprint,acceleration,0.498,1
14/12/2024,isometric,upper body,grapple,0.68,1
15/12/2024,isometric,agility,rotate,0.68,1
25/01/2025,dynamic,agility,acceleration,0.5,1
08/02/2025,dynamic,upper body,pull,0.87,1
18/02/2025,dynamic,jump,take off,0.68,1
18/02/2025,dynamic,upper body,pull,0.87,1
20/02/2025,isometric,agility,rotate,0.6385,1
21/02/2025,isometric,jump,land,0.3955,1
01/03/2025,dynamic,agility,deceleration,0.87,1
02/03/2025,dynamic,jump,pre-load,0.5605,1
11/03/2025,dynamic,jump,take off,0.68,1
11/07/2023,isometric,upper body,pull,,1
19/07/2023,dynamic,agility,deceleration,0.8525,1
08/08/2023,dynamic,jump,take off,0.7365,1
11/08/2023,isometric,agility,deceleration,0.9525,1
14/08/2023,dynamic,agility,acceleration,0.358,1
15/08/2023,dynamic,jump,pre-load,0.522,1
15/08/2023,dynamic,upper body,pull,0.8695,1
16/08/2023,dynamic,upper body,pull,0.8695,1
25/08/2023,isometric,jump,land,,1
27/08/2023,isometric,agility,rotate,,1
09/09/2023,dynamic,agility,acceleration,0.388,1
10/09/2023,isometric,upper body,pull,,1
15/09/2023,isometric,upper body,push,,1
15/09/2023,isometric,agility,acceleration,0.52,1
22/09/2023,dynamic,agility,deceleration,0.871,1
04/10/2023,dynamic,agility,acceleration,0.4305,1
11/10/2023,dynamic,upper body,push,0.4305,1
19/10/2023,isometric,jump,land,,1
19/10/2023,isometric,agility,acceleration,0.52,1
25/10/2023,dynamic,jump,pre-load,0.4985,1
25/10/2023,dynamic,sprint,acceleration,0.4305,1
27/10/2023,dynamic,jump,land,0.6615,1
30/10/2023,isometric,upper body,grapple,,1
03/11/2023,dynamic,upper body,pull,0.871,1
05/11/2023,isometric,agility,acceleration,0.52,1
17/11/2023,isometric,upper body,push,0.67,1
28/11/2023,isometric,agility,acceleration,0.52,1
08/12/2023,dynamic,sprint,acceleration,0.43,1
27/12/2023,dynamic,agility,acceleration,0.426,1
31/12/2023,isometric,agility,rotate,,1
09/01/2024,dynamic,jump,pre-load,0.504,1
10/01/2024,dynamic,jump,pre-load,0.484,1
14/01/2024,isometric,agility,acceleration,0.52,1
25/01/2024,dynamic,jump,land,0.668,1
02/02/2024,isometric,jump,take off,,1
08/02/2024,isometric,upper body,grapple,,1
11/02/2024,dynamic,jump,pre-load,0.507,1
17/02/2024,dynamic,jump,land,0.668,1
20/02/2024,dynamic,sprint,max velocity,0.637,1
21/02/2024,isometric,sprint,acceleration,0.52,1
23/02/2024,dynamic,sprint,acceleration,0.4445,1
26/02/2024,dynamic,sprint,acceleration,0.4445,1
07/03/2024,dynamic,sprint,acceleration,0.4445,1
16/03/2024,dynamic,upper body,pull,0.89,1
24/03/2024,isometric,agility,rotate,,1
26/03/2024,isometric,sprint,max velocity,,1
28/03/2024,isometric,upper body,pull,,1
02/04/2024,dynamic,upper body,pull,0.89,1
14/04/2024,isometric,upper body,pull,,1
27/04/2024,dynamic,agility,deceleration,0.89,1
03/05/2024,isometric,upper body,pull,,1
13/05/2024,isometric,jump,pre-load,0.52,1
17/05/2024,dynamic,agility,acceleration,0.43,1
19/05/2024,isometric,jump,land,,1
20/05/2024,dynamic,sprint,acceleration,0.43,1
26/05/2024,isometric,jump,pre-load,0.49,1
07/06/2024,isometric,agility,rotate,,1
24/06/2024,isometric,upper body,pull,,1
29/06/2024,dynamic,agility,acceleration,0.436,1
02/07/2024,dynamic,agility,deceleration,0.89,1
07/07/2024,isometric,upper body,grapple,,1
18/07/2024,dynamic,jump,land,0.678,1
30/07/2024,dynamic,upper body,pull,0.852,1
31/07/2024,dynamic,upper body,pull,0.852,1
21/08/2024,dynamic,agility,deceleration,0.855,1
26/08/2024,isometric,sprint,max velocity,0.756,1
04/09/2024,dynamic,jump,land,0.6495,1
04/09/2024,isometric,agility,acceleration,0.729,1
08/09/2024,dynamic,upper body,push,0.496,1
08/09/2024,isometric,agility,acceleration,0.7275,1
17/09/2024,isometric,agility,acceleration,0.72,1
18/09/2024,isometric,sprint,max velocity,0.6975,1
20/09/2024,dynamic,upper body,pull,0.9,1
11/10/2024,dynamic,upper body,pull,0.868,1
21/10/2024,dynamic,jump,take off,0.7165,1
26/10/2024,isometric,agility,deceleration,0.8515,1
02/11/2024,dynamic,sprint,acceleration,0.486,1
09/11/2024,dynamic,sprint,max velocity,0.64,1
14/11/2024,dynamic,jump,land,0.666,1
21/11/2024,dynamic,jump,take off,0.69,1
24/11/2024,isometric,upper body,push,0.936,1
24/11/2024,isometric,sprint,max velocity,0.6325,1
29/11/2024,isometric,agility,deceleration,0.86,1
12/12/2024,isometric,agility,rotate,0.68,1
29/12/2024,dynamic,jump,land,0.728,1
01/01/2025,dynamic,upper body,push,0.498,1
02/01/2025,dynamic,sprint,max velocity,0.67,1
06/01/2025,dynamic,jump,pre-load,0.494,1
10/01/2025,dynamic,sprint,max velocity,0.67,1
11/01/2025,isometric,sprint,max velocity,0.749,1
12/01/2025,dynamic,upper body,push,0.5,1
17/01/2025,isometric,sprint,max velocity,0.749,1
26/01/2025,isometric,agility,acceleration,0.7475,1
05/02/2025,isometric,sprint,max velocity,0.728,1
06/02/2025,dynamic,upper body,pull,0.87,1
